"GeneSymbol","GeneID","RefSeq_Protein_GI","RefSeq_Protein_Accession","Uniprot_Protein_Accession"
"GRIN1",2902,"530426718; 530426720; 767957183; 11496971; 297374809; 11038635; 530426722; 297374811; 11038637","NP_001172019; NP_067544; NP_015566; XP_011516885; NP_000823; XP_005266130; XP_005266128; NP_001172020; XP_005266129","P35437; Q5VSF3; A6NED8; A6NGR6; Q9UPF8; A6NLR1; C9K0X1; Q5VSF6; Q12867; Q5VSF4; Q59GW0; Q5VSF8; Q12868; A6NLK7; Q5VSF7; Q5VSF5; Q9UPF9; Q05586; Q5VSF9"
"GRIN2A",2903,"197313636; 197313638; 767987138; 1034594393; 4504125; 1034594391; 767987132","NP_001127879; NP_001127880; XP_016878662; XP_011520760; XP_011520763; XP_016878661; NP_000824","Q547U9; Q12879; Q17RZ6; O00669; Q59EW6"
"GRIN2B",2904,"767971844; 1034579239; 530399104; 167003331; 767971846; ","XP_016874708; NP_000825; XP_005253408; XP_011518930; XP_011518931","Q13224; Q12919; Q13220; Q9UM56; Q14CU4; Q13225"
"GRIN2C",2905,"767994466; 767994464; 578830783; 767994472; 514388102; 578830781; 767994478; 1034599404; 55770854; 767994468","XP_011522989; NP_001265482; XP_006721908; XP_016880033; XP_011522988; XP_006721909; XP_011522990; NP_000826; XP_011522991; XP_011522994","Q14957; H0Y2V8; Q8IW23; B2RTT1; O15398"
"GRIN2D",2906,"768008644; 153946391","XP_011525174; NP_000827; ","O15399; Q59G17"
"GRIN3A",116443,"767956234; 223278356","NP_597702; XP_011516513","Q8TCU5; Q5VTR3; Q8WXI6; B3DLF9; Q8TF29"
"GRIN3B",116444,"1034606057; 62988346","XP_016881732; NP_619635","O60391; Q5F0I5; Q7RTW9; Q5EAK7"
"GRINA",2907,"57165375; 57165373","NP_000828; NP_001009184","O43836; Q7Z429; B3KXM7; Q8IVW7"
"GRIP1",23426,"1034578821; 1034578823; 1034578828; 296010842; 1491824265; 1491824252; 767973630; 530400001; 1034578819; 223890252; 1034578830; 530400007; 1491824258","XP_005268814; NP_001353653; XP_016874591; NP_001171545; XP_016874587; NP_001353652; NP_001353651; NP_066973; XP_016874590; XP_005268811; XP_011536395; XP_016874588; XP_016874589","Q1RLM0; Q9Y3R0; C9JT59"
"GRIP2",80852,"767924373; 767924368; 618857451; 767924364; 767924366; 767924375","NP_001073892; XP_011532445; XP_011532443; XP_011532444; XP_011532447; XP_011532448","Q9C0E4; A0A087WU38; Q8TEH9; Q9H7H3"
"GRIPAP1",56850,"768033273; 1034674756; 1034674760; 1034674762; 1519313583; 768033269; 1034674752; 1034674754; 1370522107; 768033271; 1034674758","XP_011542237; XP_016885146; NP_064522; XP_011542238; XP_011542239; XP_016885147; XP_016885150; XP_016885148; XP_016885145; XP_016885149; XP_024308178","Q4V328; Q9NQ43; Q4V327; Q6N046; Q96DH8; Q4V330; Q5HYG1; Q9ULQ3; A6NL78; Q3MJ75"
"GRK1",6011,"4506529; 1034584757","XP_016876173; NP_002920","Q15835; Q53X14"
"GRK2",156,"1370458836; 148539876; 767967526","XP_011543075; XP_024304144; NP_001610","B0ZBE1; P25098; Q6GTT3; A0A0S2Z392; Q13837"
"GRK3",157,"148539879; 768023805; 1370481929; 1384008319","XP_024307933; NP_001349707; NP_005151; XP_011528277","Q9UGW9; A0A024R1D8; P35626; Q8N433"
"GRK4",2868,"578808146; 1174098917; 767929094; 767929096; 1370486785; 51873045; 558472850; 767929100; 1034639477; 530376056; 767929102; 1034639488; 1034639468; 767929090; 767929111; 1034639466; 1034639480; 1034639482; 51873047; 51873043; 767929088; 767929092; 767929105; 1034639490; 1034639496; 1034639502; 1034639509; 767929098; 767929107; 1034639486; 1034639500; 1034639507","XP_011511752; XP_011511759; XP_016863542; XP_016863553; XP_011511754; XP_011511757; NP_005298; XP_006713943; XP_011511749; XP_011511750; XP_011511751; XP_011511753; XP_011511755; XP_016863546; XP_016863547; NP_001004057; XP_005248019; XP_016863541; XP_016863552; XP_016863543; XP_016863548; XP_016863554; XP_024309783; NP_001337102; NP_892027; XP_011511756; XP_011511758; XP_016863544; XP_016863545; XP_016863551; XP_016863555; NP_001004056","Q17RH6; Q14725; Q15313; O00641; Q15315; Q13295; Q14453; Q53EQ8; Q13293; Q13294; P32298; Q15314; Q15316; O00642"
"GRK5",2869,"530393440; 530393442; 4885349","NP_005299; XP_005269764; XP_005269765","Q5T059; P34947; D3DRD0"
"GRK6",2870,"51896039; 578811100; 578811102; 767938337; 1370488959; 51896035; 767938335; 51896037; 1398331571","XP_006714921; XP_011532840; NP_001004105; NP_001351093; XP_024301800; NP_001004106; XP_006714922; XP_011532839; NP_002073","Q13652; P43250; B3KPS5; O60541"
"GRK7",131890,"1034631228; 21166359","NP_631948; XP_016861206","Q8WTQ7"
"GRM1",2911,"1034650001; 1034650003; 493799343; 166999098; 1034649999; 767942739; 1034649997; 1034649995; 1370507963; 1034650005; 493799345; 493799375; 493798972","XP_016866277; XP_024302180; XP_016866276; XP_011534084; NP_001264994; NP_001264995; XP_016866273; XP_016866274; XP_016866275; NP_001264996; NP_001264993; NP_000829; XP_016866272","Q14757; Q59HC2; Q9UGT0; Q13255; Q5VTF7; Q5VTF8; B9EG79; Q13256; Q9NU10; Q9UGS9; F8W805; Q14758"
"GRM2",2912,"767923063; 767923065; 767923067; 1034632913; 66529100; 1151249389; 1370483957; 767923079; 1151249395; 767923077; ","NP_000830; XP_011531937; XP_011531939; XP_024309258; NP_001336046; XP_011531938; NP_001336045; XP_011531944; XP_011531945; XP_016861760; ","Q14416; B0M0K7; Q14CU5; Q9H3N6; Q52MC6"
"GRM3",2913,"767947519; 46358417; 1034655193; 1391723595","NP_000831; XP_011514390; XP_016867562; NP_001350451","A4D1D0; Q14832; Q8TBH9; Q75N17; Q2PNZ6; Q86YG6; Q75MV4"
"GRM4",2914,"4504141; 378548213; 1034650014; 378548218; 1034650009; 378548209; 1034650011; 1034650016; 544583585; 378548216","NP_001243741; NP_001243742; XP_016866279; XP_016866281; NP_000832; XP_016866280; XP_016866282; NP_001243738; NP_001243740; NP_001269776","A8K0J8; B7Z1U6; Q5SZ84; B3KVL9; F5GXM5; Q6ZMQ2; Q14833; B7Z1T9; A1L4F9; B7ZLU9"
"GRM5",2915,"4504143; 219842343; 578822163; 1034573300; 767970078","NP_001137303; XP_016873116; XP_011541094; NP_000833; XP_006718891","A8K5P7; P41594; Q6J164"
"GRM6",2916,"110611176; ","NP_000834; ","O15303"
"GRM7",2917,"1034632924; 1370483967; 1034632926; 1370483971; 1370483963; 1370483965; 4504147; 32528268; 1370483973; 1370483969","XP_016861762; XP_024309266; XP_016861761; NP_870989; XP_024309261; XP_024309265; XP_024309263; XP_024309262; NP_000835; XP_024309260","B2R693; Q59G95; B9EGG9; Q8NFS2; Q8NFS3; Q14831; Q8NFS4"
"GRM8",2918,"767947548; 1034655197; 187960067; 767947560; 767947534; 1034655213; 767947528; 767947532; 1034655204; 578814139; 767947546; 1034655202; 1370510007; 767947525; 1034655200; 1034655208; 767947550; 1034655206; 187960069","XP_006716001; XP_011514394; XP_016867569; XP_011514404; XP_011514396; XP_011514403; XP_016867563; XP_016867567; XP_016867568; XP_011514393; XP_016867564; XP_016867565; XP_016867566; XP_024302504; NP_000836; XP_011514397; XP_011514405; NP_001120795; XP_011514410","A4D0Y3; B0M0L0; O15493; Q6J165; O00222; B0FZ74; Q52M02; O95945; O95946; Q3MIV9"
"GRN",2896,"530411988; 1370470785; 4504151","XP_005257310; NP_002078; XP_024306498","P23781; Q9H8S1; P23783; P28799; D3DX55; Q9UCH0; Q53HQ8; Q53Y88; Q9BWE7; Q540U8; P23782; P23784"
"GRP",2922,"1034603907; 1034603902; 31542860; 60498997; 60498999; 767998594; 1034603904","NP_001012531; NP_002082; NP_001012530; XP_016881202; XP_011524235; XP_016881201; XP_016881203","P07491; Q9BSY7; Q14454; A0A140VJM7; P07492; Q53YA0; P81553"
"GRPEL1",80273,"24308295","NP_079472","Q9HAV7; B2R783; Q549M6"
"GRPEL2",134266,"40255109","NP_689620","Q49AJ6; B4DFA6; Q8TAA5"
"GRPR",2925,"4885361","NP_005305","P30550; X5D7H2; B2R910"
"GRSF1",2926,"530376963; 149193319; 767931790; 1519312624","XP_005265738; NP_002083; XP_011530199; NP_001091947","B3KPW0; A0A024RD99; Q4W5S5; Q6ZST3; Q8IWD6; Q8NBD2; Q12849"
"GRTP1",79774,"1034584971; 557878642; 767979304; 767979306; 118722351; 530427002; 1034584969; 557878624","XP_011535824; NP_001273662; XP_016876245; XP_005268390; NP_001273661; NP_078995; XP_016876244; XP_011535823","Q2M232; Q8N528; Q9H695; A0A087X0Y1; B9A6K2; Q5TC63; Q5TC64; Q66K26; Q6P659"
"GRWD1",83743,"237820620; ","NP_113673; ","Q9BQ67; Q8TF59; A0MNN5"
"GRXCR1",389207,"122937349","NP_001073945","A8MXD5"
"GRXCR2",643226,"122937474; 1034645665","XP_016865197; NP_001073985","A6NFK2"
"GSAP",54103,"767948095; 1034656042; 767948093; 1034656029; 1186128420; 148612805; 767948084; 767948090; 1034656039; 1186128445; 1186128500; 767948080; 1034656015; 1034656023; 1186128403; 1370510410; 1186128453; 1186128462","XP_011514632; XP_016867840; XP_011514629; XP_024302569; NP_059135; XP_011514627; NP_001337825; XP_016867832; NP_001337828; XP_016867839; NP_001337827; XP_016867835; NP_001337826; NP_001337829; NP_001337830; XP_011514633; XP_011514634; XP_016867837","Q3MJC0; Q8ND73; Q9UMH3; Q9Y4L9; A4D1B5; A4D1B6"
"GSC",145258,"27777663; ","NP_776248; ","P56915; Q86YR1"
"GSC2",2928,"4885363","NP_005306","O15499"
"GSDMA",284110,"578830754; 150456463; 767994390; 1034599297; 1034599299; 1034599294","XP_006721895; XP_011522953; XP_016879991; NP_835465; XP_016879993; XP_016879992","Q96QA5; Q86VE7; Q8N1M6; Q32MC5"
"GSDMB",55876,"109689703; 109689711; 260166543; 260166541; 1609559071","NP_001159430; NP_061000; NP_001035936; NP_001356331; NP_001159431","Q7Z377; B4DKK7; Q8WY76; Q9P163; Q9NX71; Q8TAX9"
"GSDMC",56169,"767953310; 13899221; 767953287; 767953295; 767953304; 767953306; 767953289; 767953299; 1034660937; 767953297; 767953308","XP_011515460; XP_011515470; NP_113603; XP_011515463; XP_011515465; XP_011515468; XP_016869134; XP_011515467; XP_011515464; XP_011515461; XP_011515469","Q9BYG8; Q6P494; Q5XKF3"
"GSDMD",79792,"83320070; 767953617; 261878494","NP_079012; XP_011515603; NP_001159709","Q96Q98; D3DWJ9; A8K702; P57764"
"GSDME",1687,"1034654333; 188536094; 188536092; 4758154; 1370509597","NP_001120925; NP_004394; NP_001120926; XP_024302438; XP_016867291; ","A4D156; Q9UBV3; Q08AQ8; O60443; B3KT05; B2RAX9; O14590; A0A024RA58; A4FVA8"
"GSE1",23199,"767989649; 499137506; 1034594073; 1034594077; 530423726; 530423728; 1034594083; 1034594075; 1034594087; 530423724; 767989645; 197333879; 44955926","XP_005255922; NP_001127945; XP_005255916; XP_011521267; XP_005255918; XP_005255921; XP_016878573; NP_055430; XP_011521268; XP_016878572; NP_001265113; XP_005255917; XP_005255920","Q8IY61; Q9BW09; D3DUM4; Q14687; Q96GA4"
"GSG1",83445,"530399423; 767972424; 767972432; 332205957; 1519314396; 1547587727; 1519315193; 530399419; 767972421; 1519313730; 1519313713; 123317861; 123317881; 332205963; 1519314400; 767972430; 1519315105; 332205959; 1519312925; 767972426; 767972428; 1519315424; 123317872; 123317847","XP_011519161; NP_001193771; NP_001354288; XP_005253552; XP_011519163; XP_011519164; NP_001354290; NP_001354292; NP_001354936; NP_001354289; NP_722545; XP_005253550; XP_011519165; XP_011519160; XP_011519162; NP_001193772; NP_001354293; NP_112579; NP_001193774; NP_001354291; NP_001354295; NP_001074024; NP_001074023; NP_001354287","Q2KHT4; Q8NBR4; Q8NBT1; Q9BUY4; Q8N4M3; Q96SI6; Q8NBS0; Q96LP9; G3XAB9; F1T0A0; F1T0A1"
"GSG1L",146395,"21389571; 1021589374; 767988304; 767988306; 157951718; 1021589355","XP_011544053; NP_001310829; NP_001310830; NP_001103233; XP_011544052; NP_653276","Q7Z6F8; Q8TB81; B3KY67; Q6UXU4"
"GSK3A",2931,"49574532","NP_063937","O14959; A0A024R0L5; P49840"
"GSK3B",2932,"21361340; 578807334; 225903437; 1231802383","NP_001139628; NP_001341525; XP_006713673; NP_002084","D3DN89; Q6FI27; Q9BWH3; P49841; Q9UL47"
"GSKIP",51527,"429535841; 62000633; 429535846; 1370465153; 1034587280; 429535844","NP_001258835; XP_024305394; NP_001258833; NP_057556; NP_001258834; XP_016876854","A0A024R6P6; B3KSZ0; Q9BST1; Q9P0R6; Q9NWK0"
"GSN",2934,"767957206; 767957209; 1370514358; 189083780; 384475528; 427918083; 1211848718; 1211846600; 1211846624; 1211848754; 1034665019; 189083772; 189083776; 1211846626; 1211848722; 1211848794; 1211846615; 1211848764; 767957187; 767957189; 1034665029; 1370514360; 1211846596; 1211848780; 38044288; 4504165; 1211848731; 1211848703; 1211848787; 1370514362; 1211848724; 1211846606; 1211848743; 1211848324; 1211848737; 1211848739; 189083778; 1211848976; 1211848735; 1211848733; 1211848705; 530391026; 390517030; 189083782; 1211846617; 1211848800","XP_005252001; XP_011516895; XP_016870134; XP_024303290; NP_000168; NP_001339992; NP_001339998; NP_001339999; NP_001340001; NP_001340002; XP_011516896; NP_001121135; NP_001339985; NP_001339987; NP_001339990; NP_001340004; XP_011516887; NP_001121134; NP_001121139; NP_001244958; NP_001339982; NP_001339983; NP_001339995; NP_001340000; NP_001340003; NP_001340007; XP_011516886; NP_001121137; NP_001339986; NP_001339996; NP_001339997; NP_001121138; NP_001339991; NP_001340006; XP_016870137; XP_024303291; NP_001121136; NP_001339984; NP_001339993; NP_001339994; NP_001340005; XP_024303292; NP_001244959; NP_001339989; NP_001339988; NP_937895","Q5T0I2; Q8WVV7; A8MYN7; B7Z5V1; P06396; A0A0A0MT01; A0A384MEF1; A0A0A0MS51; B7Z4U6; A2A418; A8MUD1; B7Z373; F5H1A8"
"GSPT1",2935,"1519312967; 194018522; 194097354","NP_001123479; NP_002085; NP_001123478","Q7KZX8; J3KQG6; B2RCT6; P15170; Q96GF2"
"GSPT2",23708,"46094014","NP_060564; ","Q9NY44; Q8IYD1; Q9H909; Q9NVY0"
"GSR",2936,"305410789; 305410791; 305410793; 50301238","NP_000628; NP_001182032; NP_001182031; NP_001182033","C8KIL9; C8KIL8; C8KIM0; D3DSV3; V9HW90; P00390; Q7Z5C9; Q9NP63"
"GSS",2937,"4504169; 1017029493; 1017029553","NP_001309424; NP_000169; NP_001309423","B6F210; V9HWJ1; E1P5P9; Q4TTD9; B2R697; P48637"
"GSTA1",2938,"530381843; 975830176; 22091454","NP_665683; XP_005249091; NP_001305988","A0A140VJK4; P08263; Q5GHF8; Q14750; B7Z1F9; Q5SZC1"
"GSTA2",2939,"215276987; 767939843","XP_011512834; NP_000837; ","A0A140VKE2; Q12759; A8K987; Q9NTY6; P09210; Q16491"
"GSTA3",2940,"1370507975; 1370507972; 24430144; 767939848; 1391723597; 578811624","XP_011512835; XP_024302182; NP_000838; XP_024302183; XP_006715135; NP_001350471","Q9H415; O43468; Q068V6; Q5JW85; Q16772; Q8WWA8"
"GSTA4",2941,"767939851; 530381845; 4504173; 767939853","XP_011512836; XP_011512837; XP_005249092; NP_001503","Q5T7Q8; A0A024RD58; Q9H414; O15217; B2RD15; Q9BX18; Q6P4G1"
"GSTA5",221357,"24308514","NP_714543","Q5SZC2; Q7RTV2"
"GSTCD",79807,"767932643; 154707916; 767932641; 149588660; 767932649; 530378167","NP_079027; NP_001026890; XP_005263279; XP_011530551; XP_011530550; XP_011530554","Q8NEC7; H9KV97; A8K8J0; B7Z8J7; Q9H8S3; A8MVD3"
"GSTK1",373156,"219842317; 219842335; 7705704; 219842333","NP_001137153; NP_001137151; NP_001137152; NP_057001","Q6P4H0; B4DIH1; Q7Z520; Q9Y2Q3; B4DSY2; Q6FII1; Q9P1S4"
"GSTM1",2944,"23065547; 23065544; 530362451; ","XP_005270839; NP_000552; NP_666533","P09488; Q5GHG0; X5D932; Q9UC96; X5DR03; Q8TC98; Q6FH88"
"GSTM2",2946,"215277000; 4504175","NP_001135840; NP_000839","Q5TZY5; Q0D2I8; Q2M318; B4DRY4; P28161; E9PEM9; A0A384P5E9; Q8WWE1"
"GSTM3",2947,"23065552; ","NP_000840","Q96HA3; Q6FGJ9; P21266; O60550"
"GSTM4",2948,"1034557931; 23065557; 1370452889; 4504179; 1034557925; 1034557927; 1034557929; ","XP_016856575; XP_016856576; XP_016856577; XP_024302345; NP_671489; XP_016856574; NP_000841; ","Q03013; Q32NC1; Q4JNT8; A0A140VKE3; Q05465; A8K765; Q6FH87"
"GSTM5",2949,"23065563; 530362455; 530362457","XP_005270842; XP_005270841; NP_000842","Q6PD78; A8K0V8; Q5T8R2; P46439"
"GSTO1",9446,"300360532; 4758484; 300360534","NP_001177932; NP_004823; NP_001177931","Q5TA03; P78417; V9HWG9; F5H7H0; Q7Z3T2; D3DRA3"
"GSTO2",119391,"38016131; 300360569; 767961584; 300360567; 578818915; 767961582; 767961586; 1034566443; 767961579; 1034566441; 300360571","XP_016871159; NP_001177944; NP_001177942; NP_899062; XP_006717687; XP_011537572; XP_011537574; XP_011537575; XP_011537573; XP_016871160; NP_001177943","Q49TW5; B4DJW6; Q5GM70; Q5JU15; Q86WP3; Q9H4Y5; A8K771; E7ESD6"
"GSTP1",2950,"4504183; ","NP_000843; ","Q15690; P09211; O00460; Q5TZY3; V9HWE9"
"GSTT1",2952,"167466164; 658310009; 658310013; 658309999; 658310001; 658310005; 658310007; 658310011; 658310003","NP_001280738; NP_001280741; NP_001280740; NP_001280743; NP_000844; NP_001280742; NP_001280736; NP_001280739; NP_001280737","Q5TZY2; Q96IY3; O00226; A0A0G2JQM5; P30711; Q6IC69; A0A0G2JRQ5; Q4GZS9; A0A0G2JRN4; Q969K8; Q4W251"
"GSTT2",2953,"702760663; 702777837","NP_000845; NP_001289599","P0CG29; Q6IPV7; O60665; P30712; Q9HD76"
"GSTT2B",653689,"124249394; 1394533227; 530420317","XP_005261772; NP_001074312; NP_001350733","P30712; Q6ICJ4; O60665; G9J6Q5; P0CG30; Q6IPV7; Q9HD76"
"GSTZ1",2954,"1393428383; 194440732; 1370464878; 1370464872; 1370464876; 915928352; 22202624; 767980338; 767980340; 1370464874; 1370464880","XP_011534973; XP_024305318; XP_024305319; NP_001299589; NP_665878; NP_001350632; XP_024305317; XP_024305316; XP_024305320; NP_665877; XP_011534972","A0A0C4DFM0; A6NED0; Q7Z610; B2RCK3; A8MWD7; O75430; O15308; Q6IB17; A6NNB8; Q9BV63; A0A0A0MR33; O43708"
"GSX1",219409,"33457326","NP_663632","Q9H4S2; Q9UD62"
"GSX2",170825,"1519315609","NP_573574","Q9BZM3; B2LYG3"
"GTDC1",79712,"530369413; 1034616595; 1034616641; 1370479021; 1370479028; 545746399; 530369433; 1034616585; 1034616591; 1034616593; 1034616611; 1034616621; 1034616627; 1034616631; 1034616637; 1034616639; 1034616645; 1237937962; 1229732586; 1034616629; 1034616649; 1370479047; 1229732627; 1237937735; 767919763; 1034616633; 1034616651; 1034616659; 1370479045; 1229732564; 1229732654; 1034616600; 1034616647; 1034616653; 257467510; 545746394; 545746367; 1237938118; 1034616589; 1034616607; 1034616609; 1034616643; 1370479030; 1229732574; 767919790; 767919792; 1034616603; 1034616619; 1034616625; 1034616635; 1370479013; 54859763; 545746327; 1237938212; 1229732621; 40254965; 1034616623; 1034616663; 1034616665; 1370479018; 1370479038; 1370479053; 1237938249","XP_016860423; XP_016860434; XP_016860439; XP_024308916; XP_024308917; NP_001341279; XP_016860414; XP_016860424; XP_016860435; XP_024308910; NP_001341280; NP_001341285; NP_001341291; XP_011510158; XP_016860417; XP_016860430; XP_016860438; NP_001006637; NP_001271162; NP_001341282; XP_011510145; XP_016860407; XP_016860415; XP_016860429; XP_024308913; XP_024308914; NP_001158101; NP_001341290; NP_078935; XP_016860410; XP_016860418; XP_016860431; XP_016860445; XP_024308909; NP_001271163; NP_001341281; NP_001341289; XP_011510157; XP_016860411; XP_016860412; XP_016860427; XP_016860432; XP_016860436; XP_016860440; XP_016860443; XP_024308912; NP_001271164; NP_001341284; XP_005263831; XP_005263841; XP_016860426; XP_016860428; XP_016860437; XP_024308911; XP_024308915; NP_001271167; NP_001341287; XP_016860409; XP_016860419; XP_016860425; XP_016860433; XP_016860446; NP_001341283","Q9HAE5; Q6PJB6; Q6WKW6; Q6P7E7; B8ZZ45; Q53TC5; D3DP81; A8K5P2; G1UFN1; A0A087X2H5; H7BYJ5; Q53SM7; Q4AE62; G5EA49"
"GTF2A1",2957,"42476101; 7706735; 525313614","NP_056943; NP_963889; NP_001265869","P52655; Q3KNQ9"
"GTF2A1L",11036,"26787968; 301601620; ","NP_001180416; NP_006863; ","B4DY14; A0A140VKA3; Q53FD9; Q9UNN4; Q5D050"
"GTF2A2",2958,"1005261053; 4758486; 1004170627","NP_004483; NP_001307858; NP_001307859","B2R506; A0A024R5Z5; P52657; A8MYQ7; Q6FGB5"
"GTF2B",2959,"767903904; 4504193; ","XP_011539601; NP_001505","A8K1A7; Q5JS30; Q00403"
"GTF2E1",2960,"144922725; 767926533; 767926531","XP_011511046; XP_011511047; NP_005504","Q16103; P29083"
"GTF2E2",2961,"1034660101; 1034660099; 767950833; 1370512269; 4504195; 767950831; 1135453158","XP_011542811; NP_001335282; XP_024302906; XP_016868852; NP_002086; XP_011542812; XP_016868853","Q9H2B9; P29084; D3DSV2"
"GTF2F1",2962,"156104891; 1370474986","XP_024307243; NP_002087","P35269; Q9BWN0; B2RCS0"
"GTF2F2",2963,"4758488; 767977611; 1034584331; 1034584329; 767977613","XP_011533355; XP_011533354; XP_016876040; XP_016876039; NP_004119","P13984; A6NNS5; Q5W0H3; A0A024RDU9"
"GTF2H1",2965,"214831601; 1370459212; 4885365; 578820478; 1370459214","XP_006718271; NP_001135779; NP_005307; XP_024304226; XP_024304225","P32780; Q6I9Y7; Q9NQD9; B3KXE0; D3DQY2; Q9H5K5; A0A384MTQ8"
"GTF2H2",2966,"1370489044; 1034644744; 1407718775; 1034644748; 1407718742; 1407718798; 1407718810; 1408287175; 1034644742; 1407718744; 1407718760; 6681762","XP_016864893; NP_001351502; XP_016864892; NP_001351496; NP_001351500; NP_001506; XP_016864895; XP_024301805; NP_001351497; NP_001351498; NP_001351501; NP_001351499","Q9BS41; Q13888; Q15570; Q15571"
"GTF2H2C",728340,"530379474; 767936459; 1034645997; 530379478; 530379482; 578810537; 148922852","XP_005248647; NP_001092198; XP_006714751; XP_005248645; XP_005248649; XP_011541917; XP_016865293","A6NED9; Q6P1K8; A8K8J6; B2RCU4; B7ZW39"
"GTF2H2C_2",730394,"1237937870; 1230839382; 109809737; 1237938364","NP_001341366; NP_001341368; NP_001035955; NP_001341367","B7ZW39; A8K8J6; A6NED9; Q6P1K8; B2RCU4"
"GTF2H3",2967,"428673526; 428673524; 1034579260; 428673522; 19923732","NP_001258797; XP_016874717; NP_001507; NP_001258796; NP_001258795","Q7L0G0; A0A087WYD5; Q13889; Q96AT7; B2R819; B4DNZ6"
"GTF2H4",2968,"4504201","NP_001508","Q76KU4; A0A1U9X7S4; B4DTJ5; Q92759"
"GTF2H5",404672,"1034650265; 46359855","XP_016866351; NP_997001","Q6ZYL4; Q0P5V8"
"GTF2I",2969,"254692934; 14670352; 14670350; 14670354; 526253077; 169881252","NP_127492; NP_127493; NP_127494; NP_001509; NP_001157108; NP_001267729","O14743; O43588; X5DNP5; X5D939; Q75M86; O43546; A8K9W7; X5DR09; Q9BSZ4; Q75M88; Q86U51; Q75M87; P78347; O15359; O43589; Q75M85; Q499G6; X5D2J9"
"GTF2IP20",441124,"","","-"
"GTF2IRD1",9569,"767949109; 1034657465; 312836811; 578814774; 578814777; 1034657461; 1034657469; 7705387; 312836831; 1034657467","XP_011515015; XP_016868294; NP_001186136; XP_016868292; NP_005676; XP_006716246; XP_016868293; XP_006716245; XP_016868291; NP_057412","O95444; Q75MX7; Q86UM3; Q8WVC4; Q9UHL9; Q6DSU6; Q9UHK8; E9PFE2; Q9UI91"
"GTF2IRD2",84163,"1566846649; 527122113; 1566846625; ","NP_001355229; NP_001268376; NP_775808","Q86WX4; B3KUZ2; Q69G40; Q8ND85; A8K5W6; Q6EKI9; A0A0A0MSY2; Q6P7N8; Q6EKI8; Q86UP8; Q8NDE5; Q6NVW2"
"GTF2IRD2B",389524,"51241788; 1566846670; 1566846622","NP_001355230; NP_001355231; NP_001003795","Q9H739; B2RNE9; Q69GU6; Q8N979; Q6EKJ0"
"GTF3A",2971,"166063995","NP_002088","B7ZBK5; Q12963; Q92664; Q13097"
"GTF3C1",2975,"555943794; 101943240; 1034594450","NP_001273171; NP_001511; XP_016878677","Q12789; Q6DKN9; B2RP21; Q12838; Q9Y4W9"
"GTF3C2",2976,"78482617; 974141065; 4504205; 530367499","NP_001030598; XP_005264329; NP_001512; NP_001305838","D6W557; Q16632; Q8WUA4; Q9BWI7"
"GTF3C3",9330,"530371187; 6912398; 332164729","NP_001193703; XP_005247022; NP_036218","Q8WX84; Q9NT97; Q9Y5Q9; Q96B44; Q9H5I8; Q4ZG48; Q86XJ8"
"GTF3C4",9329,"1034671933; 156119605; ","XP_016870807; NP_036336; ","Q5VZJ7; Q9UKN8; B3KNH2"
"GTF3C5",9328,"170763506; 1034671927; 557878659; 1034671929; 170763508; ","NP_036219; XP_016870805; NP_001116295; XP_016870804; NP_001273638","Q5T7U3; Q8N2U7; Q9H4P2; H7BY84; A6NI44; A6NJB9; Q8N857; Q9Y5Q8; Q5T7U2; Q96GD9"
"GTF3C6",112495,"19923927","NP_612417","Q969F1; Q5VXN2"
"GTPBP1",9567,"1034629950; 1034629952; 1034629940; 1034629945; 768026532; 1034629942; 82546879","XP_016884592; XP_016884591; XP_016884590; NP_004277; XP_016884589; XP_016884588; XP_011528839; ","Q6IC67; O00178"
"GTPBP10",85865,"111955139; 111955063","NP_001036182; NP_149098","Q3B7A6; B4DFY6; Q5H9V2; Q9Y6T6; A4D1E9; Q8IXG8; Q8N982; Q9BSP1; Q8WU16"
"GTPBP2",54676,"45593140; 1370508235; 1034650623; 1370508237; 1370508241; 555290135; 1370508239","XP_016866465; XP_024302243; XP_024302244; XP_024302246; NP_061969; XP_024302245; NP_001273145","Q9HCS9; Q9NX60; A0A024RD30; Q8TAH7; Q8WUA5; Q9NRU4; A8K2K2; Q5T7E8; Q9BX10; Q8ND84"
"GTPBP3",84705,"193082991; 193082988; 193082993; 306518614","NP_001122327; NP_598399; NP_001182351; NP_116009","A6NFH1; Q969G4; A8K7B4; Q8WUW9; Q8TCY6; B7Z4V8; Q9BX61; A6NKR4; B7Z563; A6NIG5; Q969Y2"
"GTPBP4",23560,"1370456782; 55953087","XP_024303689; NP_036473","B7Z7A3; O95446; B4DY13; Q5T3R8; Q9NVJ8; D2CFK9; B3KMC5; Q9BZE4"
"GTPBP6",8225,"604723316; 578838996; 768040572; 768031783; 578837777; ","XP_006724931; XP_011543939; XP_011544486; XP_006724510; NP_036359; ","O43824; H0Y2S1; Q53F77; Q5HYX8"
"GTPBP8",29083,"56549685; 56549687","NP_612494; NP_054889","Q5I0Y4; Q9P025; Q8N3Z3; A6NE99; A6NN11; A8K0P6; E7EV33"
"GTSCR1",220158,"512125226","NP_001265444","Q86UQ5; J3KSW9"
